antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'baking powder'}),frozenset({'other vegetables'}),0.017691916624300967,0.1934926283680732,0.007320793085917641,0.41379310344827586,2.138547121604726,1.0,0.0038975376374128378,1.375806692783875,0.5419815064003036,0.035910224438902745,0.2731537030274575,0.22581405041042274
frozenset({'baking powder'}),frozenset({'whole milk'}),0.017691916624300967,0.25551601423487547,0.009252669039145907,0.5229885057471264,2.0467934556398677,1.0,0.004732101019128791,1.5607254641341164,0.5206420740009394,0.035053929121725724,0.3592723236851937,0.2796001024557359
frozenset({'beef'}),frozenset({'other vegetables'}),0.05246568378240976,0.1934926283680732,0.019725470259278087,0.37596899224806196,1.943066231613079,1.0,0.009573747205091429,1.2924155396337709,0.5122236689702779,0.08719101123595505,0.22625504775084335,0.23895664536207617
frozenset({'beef'}),frozenset({'rolls/buns'}),0.05246568378240976,0.18393492628368074,0.01362480935434672,0.2596899224806201,1.4118575940281364,1.0,0.003974537675406276,1.102328738318379,0.30786565082090345,0.06115928799634869,0.09282960224232478,0.1668819982773471
frozenset({'beef'}),frozenset({'root vegetables'}),0.05246568378240976,0.10899847483477376,0.017386883579054397,0.3313953488372093,3.0403668431100312,1.0,0.011668204065608208,1.3326283680732078,0.7082512053284838,0.12067748764996472,0.24960324726851002,0.2454551371051718
frozenset({'beef'}),frozenset({'whole milk'}),0.05246568378240976,0.25551601423487547,0.02125063548551093,0.4050387596899225,1.5851795469758803,1.0,0.007844813081322243,1.2513151031101117,0.389597113680904,0.07411347517730495,0.2008407814190641,0.24410314426995128
frozenset({'berries'}),frozenset({'other vegetables'}),0.033248601931875954,0.1934926283680732,0.010269445856634469,0.308868501529052,1.5962804585066874,1.0,0.0038360864792719935,1.166937657184248,0.38639061634392297,0.04744011272898074,0.14305619169670025,0.18097129753278662
frozenset({'berries'}),frozenset({'whipped/sour cream'}),0.033248601931875954,0.07168276563294357,0.009049313675648195,0.27217125382262997,3.796885505454703,1.0,0.006665961935742496,1.275461074109359,0.7619603598152709,0.09437963944856839,0.21596980080455264,0.1992061942872015
frozenset({'berries'}),frozenset({'whole milk'}),0.033248601931875954,0.25551601423487547,0.01179461108286731,0.3547400611620795,1.3883280945201162,1.0,0.0032990608383523853,1.1537737599298374,0.289328949849854,0.042584434654919234,0.13327895404657905,0.20045001466380935
frozenset({'berries'}),frozenset({'yogurt'}),0.033248601931875954,0.13950177935943062,0.010574478901881037,0.3180428134556575,2.279847718904075,1.0,0.005936239771170939,1.2618068078451397,0.5806810459208439,0.0652037617554859,0.20748565169991626,0.19692228136339726
frozenset({'beverages'}),frozenset({'whole milk'}),0.026029486527707167,0.25551601423487547,0.00681240467717336,0.26171875,1.0242753307799441,1.0,0.00016145402703323687,1.0084015891845073,0.02433339098432047,0.024796447076239823,0.008331590583173967,0.1441900554615997
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.08052872394509406,0.25551601423487547,0.02043721403152008,0.2537878787878788,0.9932366843926732,1.0,-0.0001391645423509287,0.9976841230558015,-0.007351302820593646,0.06475515463917526,-0.002321252679761317,0.16688598077873842
frozenset({'bottled water'}),frozenset({'soda'}),0.11052364006100661,0.17437722419928825,0.028978139298423997,0.2621895124195032,1.5035765916302124,1.0,0.009705333736184412,1.1190174031114386,0.3765351879928446,0.1132300357568534,0.1063588490943121,0.21418513521849797
